phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
training,-1.0,0,0.6592857241630554,10.600197792053223,12.158844947814941,97.2950210571289,112.0,,,,,/work/outputs/2025-09-10/06-07-25-028729/checkpoints/val/accuracy.ckpt
training,-1.0,1,0.8182758688926697,11.890572547912598,14.562655448913574,97.29501342773438,112.0,,,,,/work/outputs/2025-09-10/06-07-58-421393/checkpoints/val/accuracy.ckpt
training,-1.0,2,0.8505681753158569,11.619255065917969,12.99717903137207,97.29495239257812,112.0,,,,,/work/outputs/2025-09-10/06-08-46-744446/checkpoints/val/accuracy.ckpt
training,-1.0,3,0.821982741355896,11.699248313903809,13.971907615661621,97.2949447631836,112.0,,,,,/work/outputs/2025-09-10/06-09-50-637602/checkpoints/val/accuracy.ckpt
training,-1.0,4,0.8172602653503418,11.326923370361328,12.386741638183594,97.29496002197266,112.0,,,,,/work/outputs/2025-09-10/06-11-07-442235/checkpoints/val/accuracy.ckpt
training,-1.0,5,0.8178977370262146,11.533683776855469,12.655924797058105,97.29493713378906,112.0,,,,,/work/outputs/2025-09-10/06-12-39-395466/checkpoints/val/accuracy.ckpt
training,-1.0,6,0.7026699185371399,11.342708587646484,12.64400577545166,97.2949447631836,112.0,,,,,/work/outputs/2025-09-10/06-14-26-113410/checkpoints/val/accuracy.ckpt
