phase,phase_type,train_seed,test_seed,task_id,noise_level,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス,wandbリンク
test_only,inference,-1,42,6,0.2,0.925000011920929,3.4812285900115967,4.949324607849121,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/xnfyy20b
test_only,inference,-1,42,6,0.3,0.9189285635948181,3.316073417663574,4.038156986236572,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/t4oiu5ef
test_only,inference,-1,42,6,0.4,0.9171428680419922,3.7236855030059814,6.501243591308594,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/9bj1hux7
test_only,inference,-1,42,6,0.5,0.9132142663002014,3.226011276245117,4.655304431915283,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/7f77f5m7
test_only,inference,-1,42,6,0.6,0.9100000262260437,3.1195719242095947,3.721726417541504,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/f3hwbody
test_only,inference,-1,42,6,0.7,0.9053571224212646,3.572462797164917,9.477057456970215,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/tzrwt8nx
test_only,inference,-1,42,6,0.0,0.9235714077949524,3.3546619415283203,4.2368645668029785,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/5uecaryy
test_only,inference,-1,42,6,0.1,0.9214285612106323,3.415069818496704,7.989376544952393,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/hdu6mgq6
test_only,inference,-1,42,6,0.2,0.9157142639160156,3.179986000061035,4.2540483474731445,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/a8qtr5ls
test_only,inference,-1,42,6,0.3,0.9175000190734863,3.1554601192474365,4.047148704528809,282.8374938964844,288.0,,,,,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/x60grhpq
