phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1.0,0,0.920714259147644,65.87670135498047,67.94527435302734,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,0,0.6182143092155457,61.46393966674805,63.462215423583984,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,1,0.8607142567634583,64.5759506225586,68.60236358642578,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,0,0.6378571391105652,65.19474029541016,67.32328033447266,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,1,0.821071445941925,64.72423553466797,66.2564468383789,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,2,0.8617857098579407,65.57363891601562,68.59437561035156,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,0,0.5910714268684387,65.06195068359375,67.04248046875,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,1,0.8092857003211975,65.09204864501953,68.12836456298828,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,2,0.8171428442001343,66.40560150146484,71.17794799804688,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,3,0.8357142806053162,65.28721618652344,69.607177734375,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,0,0.7496428489685059,65.85588836669922,69.43096160888672,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,1,0.7714285850524902,64.7072525024414,66.99633026123047,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,2,0.8335714340209961,61.11375427246094,62.62930679321289,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,3,0.4392857253551483,61.8969841003418,66.36199188232422,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,4,0.7046428322792053,60.971580505371094,64.55294036865234,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,0,0.8757143020629883,62.3431282043457,65.24085235595703,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,1,0.5571428537368774,62.02338409423828,63.41388702392578,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,2,0.6735714077949524,62.93629837036133,64.63996124267578,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,3,0.3271428644657135,61.4916877746582,63.15999221801758,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,4,0.6028571724891663,61.2303466796875,65.31669616699219,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,5,0.7950000166893005,61.234519958496094,63.30396270751953,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,0,0.7942857146263123,63.97955322265625,68.12950134277344,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,1,0.4828571379184723,61.68230438232422,63.94514465332031,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,2,0.5921428799629211,64.78101348876953,67.60704040527344,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,3,0.3017857074737549,64.787353515625,66.40943908691406,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,4,0.5271428823471069,65.10965728759766,66.70834350585938,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,5,0.7228571176528931,62.217620849609375,63.8131103515625,36.78672409057617,49.47368240356445,,,,,N/A
inference,-1.0,6,0.1899999976158142,67.29983520507812,71.94808959960938,36.78672409057617,49.47368240356445,,,,,N/A
