ステータス,モデル,データセット,dataset_seed,LSTMCell,optimizer,scheduler,batch,model.n_layers,model.d_model,units,output_units,エポック数,ode_solver_unfolds,input_mapping,検証精度 (Val Acc),テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),学習時間/epoch,訓練時 Memoey Allocated [MB],推論時 Memoey Allocated [MB],チェックポイントパス,wandbリンク,備考
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.9472155570983887,37.14420700073242,42.62117004394531,61.049312591552734,1127.49169921875,22.08612632751465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_0/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/jnvwtkjo,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.9472155570983887,37.14420700073242,42.62117004394531,61.049312591552734,1127.49169921875,22.08612632751465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_0/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/jnvwtkjo,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8361378312110901,40.11909103393555,46.51319122314453,66.735595703125,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_1/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/84atsphc,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8361378312110901,40.11909103393555,46.51319122314453,66.735595703125,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_1/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/84atsphc,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.3109976053237915,38.79607009887695,41.281402587890625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/46zn5wbu,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.3109976053237915,38.79607009887695,41.281402587890625,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/46zn5wbu,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8361378312110901,38.528564453125,40.25053787231445,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/tu7run8n,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8361378312110901,38.528564453125,40.25053787231445,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/tu7run8n,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8312299847602844,38.68911361694336,39.95136642456055,66.07801818847656,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_2/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/8o4gswaz,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8312299847602844,38.68911361694336,39.95136642456055,66.07801818847656,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_2/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/8o4gswaz,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.1912059336900711,36.34886169433594,38.0174560546875,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/j7o8fyui,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.1912059336900711,36.34886169433594,38.0174560546875,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/j7o8fyui,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.2504006326198578,39.21762466430664,42.0085563659668,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/36fecpa4,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.2504006326198578,39.21762466430664,42.0085563659668,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/36fecpa4,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8312299847602844,38.536773681640625,39.71275329589844,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/tg1kbq72,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8312299847602844,38.536773681640625,39.71275329589844,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/tg1kbq72,
完了,sequence,mnist,3,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8359375,38.50674819946289,39.6090087890625,66.41236114501953,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_3/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/sthh03b1,
完了,sequence,mnist,3,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8359375,38.50674819946289,39.6090087890625,66.41236114501953,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_3/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/sthh03b1,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.10576923191547394,37.1630744934082,42.38903045654297,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/osegw3ye,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.10576923191547394,37.1630744934082,42.38903045654297,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/osegw3ye,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.18409454822540283,37.08536148071289,38.675384521484375,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/zrzxfx86,
完了,sequence,mnist,1,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.18409454822540283,37.08536148071289,38.675384521484375,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/zrzxfx86,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.30108171701431274,38.00593948364258,43.76768112182617,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/c8vv8y83,
完了,sequence,mnist,2,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.30108171701431274,38.00593948364258,43.76768112182617,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/c8vv8y83,
完了,sequence,mnist,3,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8359375,39.667259216308594,42.78470993041992,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/4ivjepdc,
完了,sequence,mnist,3,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.8359375,39.667259216308594,42.78470993041992,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/4ivjepdc,
完了,sequence,mnist,4,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8361378312110901,36.99518585205078,43.63949966430664,62.01226043701172,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_4/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/v31empij,
完了,sequence,mnist,4,True,adamw,cosine_warmup,128,1,28,64,10,11,6,affine,-1.0,0.8361378312110901,36.99518585205078,43.63949966430664,62.01226043701172,1128.099609375,22.29950523376465,/work/outputs/ncps/DIL/ewc_lambda10000/train_task_4/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/ncps_ewc_continual_learning/runs/v31empij,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.08834134787321091,38.99934768676758,43.212528228759766,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/cn83wev6,
完了,sequence,mnist,0,True,adamw,cosine_warmup,128,1,28,64,10,100,6,affine,,0.08834134787321091,38.99934768676758,43.212528228759766,,,21.904478073120117,N/A,https://wandb.ai/yuuharuharuya1120-japan/default/runs/cn83wev6,
