phase,phase_type,train_seed,test_seed,noise_level,task_id,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス,wandbリンク
test_only,training,-1,42,-1,0,0.8769999742507935,11.38942813873291,15.719411849975586,97.2957000732422,112.0,,,,,/work/outputs/2025-09-08/16-54-50-770592/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/3d1i8v7c
test_only,training,-1,42,-1,1,0.9235714077949524,11.15688133239746,14.867189407348633,97.29541015625,112.0,,,,,/work/outputs/2025-09-08/16-56-34-255860/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/uh1jenw9
test_only,training,-1,42,-1,2,0.921500027179718,10.855949401855469,13.68359661102295,97.29541015625,112.0,,,,,/work/outputs/2025-09-08/16-58-44-627446/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/dm02l9s5
test_only,training,-1,42,-1,3,0.8999999761581421,10.88556957244873,13.267656326293944,97.2953109741211,112.0,,,,,/work/outputs/2025-09-08/17-01-20-874630/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/v4idsfde
test_only,training,-1,42,-1,4,0.9039285778999328,10.782386779785156,12.423089981079102,97.29549407958984,112.0,,,,,/work/outputs/2025-09-08/17-04-22-420444/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/cdz8zyq9
