phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,60.65235137939453,63.422847747802734,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,62.536109924316406,65.79881286621094,36.39921951293945,50.0,,,,,/work/outputs/2025-09-09/15-18-51-189063/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9139999747276306,63.02992630004883,67.72501373291016,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9314285516738892,60.820343017578125,64.55728912353516,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,61.93498992919922,66.6329345703125,36.39892578125,49.5,,,,,/work/outputs/2025-09-09/15-24-41-344013/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8289999961853027,62.20473098754883,65.96975708007812,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9328571557998657,60.74250411987305,63.449405670166016,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9484999775886536,61.62159729003906,66.33751678466797,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,61.630619049072266,65.58512115478516,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/15-32-16-669454/checkpoints/val/accuracy.ckpt
inference,-1,0,0.7680000066757202,62.1905517578125,65.55268096923828,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8885714411735535,62.806129455566406,69.17183685302734,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9524999856948853,61.220970153808594,67.46282196044922,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9504166841506958,61.20339584350586,63.5918083190918,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,61.507999420166016,64.25232696533203,36.398826599121094,48.0,,,,,/work/outputs/2025-09-09/15-41-32-802710/checkpoints/val/accuracy.ckpt
inference,-1,0,0.7649999856948853,60.94970703125,64.19947052001953,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8371428847312927,60.747745513916016,63.84356689453125,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9300000071525574,61.28633499145508,64.37240600585938,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9383333325386047,61.21791458129883,64.9619140625,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9403571486473083,62.401878356933594,67.10926055908203,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,61.72747802734375,67.96482849121094,36.39901351928711,48.0,,,,,/work/outputs/2025-09-09/15-52-24-211318/checkpoints/val/accuracy.ckpt
