phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,60.32436752319336,62.95388412475586,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,61.75796127319336,66.33100128173828,36.39921951293945,48.0,,,,,/work/outputs/2025-09-10/05-20-28-376492/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8410000205039978,60.97400665283203,64.87542724609375,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.947857141494751,61.257911682128906,65.15567779541016,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,60.88619613647461,64.91146850585938,36.39892578125,48.0,,,,,/work/outputs/2025-09-10/05-26-19-205600/checkpoints/val/accuracy.ckpt
inference,-1,0,0.7279999852180481,60.90687942504883,64.0285873413086,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8928571343421936,60.97834777832031,63.43192672729492,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9484999775886536,60.6473503112793,62.9044303894043,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,61.19240951538086,65.11908721923828,36.39892578125,48.0,,,,,/work/outputs/2025-09-10/05-33-50-650901/checkpoints/val/accuracy.ckpt
inference,-1,0,0.6169999837875366,61.615966796875,65.0163345336914,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8435714244842529,62.78659439086914,66.74695587158203,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9399999976158142,61.613487243652344,65.63156127929688,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9433333277702332,60.287960052490234,62.97135925292969,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,63.288238525390625,66.52397155761719,36.398826599121094,48.0,,,,,/work/outputs/2025-09-10/05-43-09-527851/checkpoints/val/accuracy.ckpt
inference,-1,0,0.5709999799728394,61.500003814697266,64.3410415649414,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.7685714364051819,61.17900848388672,66.43154907226562,36.787109375,49.5,,,,,N/A
inference,-1,2,0.8960000276565552,61.482513427734375,65.88411712646484,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9012500047683716,61.31471633911133,63.83604049682617,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9314285516738892,61.482242584228516,63.82023239135742,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,61.09836196899414,64.12488555908203,36.39901351928711,48.0,,,,,/work/outputs/2025-09-10/05-54-03-758473/checkpoints/val/accuracy.ckpt
