phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.418785095214844,64.0459976196289,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,63.21546936035156,68.28466796875,36.39921951293945,48.0,,,,,/work/outputs/2025-09-10/04-41-09-095732/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8209999799728394,61.10444641113281,64.52381896972656,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9485714435577393,61.13922882080078,65.76004791259766,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,61.36551284790039,65.42305755615234,36.39892578125,48.25,,,,,/work/outputs/2025-09-10/04-47-02-227218/checkpoints/val/accuracy.ckpt
inference,-1,0,0.7170000076293945,61.007225036621094,63.631099700927734,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9021428823471069,61.64188766479492,66.37407684326172,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9480000138282776,62.4636344909668,67.77684783935547,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,61.288917541503906,66.80406188964844,36.39892578125,48.0,,,,,/work/outputs/2025-09-10/04-54-36-845779/checkpoints/val/accuracy.ckpt
inference,-1,0,0.6299999952316284,60.19219207763672,62.955238342285156,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8385714292526245,63.26237869262695,68.30261993408203,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9449999928474426,61.01553726196289,63.881072998046875,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9391666650772095,61.56447982788086,65.68262481689453,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,61.27262878417969,65.64110565185547,36.398826599121094,48.0,,,,,/work/outputs/2025-09-10/05-03-58-088823/checkpoints/val/accuracy.ckpt
inference,-1,0,0.6119999885559082,61.93942642211914,66.56069946289062,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.7571428418159485,62.73794937133789,67.1068344116211,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9104999899864197,60.92650604248047,64.5051040649414,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9162499904632568,60.5737190246582,63.17555618286133,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9307143092155457,61.62946701049805,63.737178802490234,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,63.46787643432617,73.60081481933594,36.39901351928711,48.0,,,,,/work/outputs/2025-09-10/05-14-47-253675/checkpoints/val/accuracy.ckpt
