phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.63776779174805,64.41047668457031,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,61.387062072753906,64.69580078125,36.39921951293945,48.0,,,,,/work/outputs/2025-09-09/19-54-18-949130/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9070000052452087,60.72422790527344,64.3288803100586,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9435714483261108,61.07680130004883,65.938232421875,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,61.057464599609375,64.67573547363281,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/20-00-10-904431/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8970000147819519,61.38047409057617,63.7677001953125,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9235714077949524,62.158687591552734,65.1347427368164,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9365000128746033,62.21302795410156,67.3271255493164,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,61.08082580566406,65.73587799072266,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/20-07-44-862208/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8320000171661377,60.713680267333984,64.53152465820312,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9314285516738892,61.40513610839844,63.72751235961914,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9434999823570251,62.41514205932617,68.28262329101562,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9441666603088379,61.874114990234375,65.6847152709961,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,62.3564453125,66.06678009033203,36.398826599121094,48.0,,,,,/work/outputs/2025-09-09/20-16-59-035529/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8510000109672546,61.874637603759766,65.81830596923828,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9278571605682373,61.32660675048828,64.36976623535156,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9399999976158142,61.19767761230469,64.62947845458984,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9420833587646484,61.811248779296875,65.72244262695312,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9421428442001343,60.582420349121094,63.253509521484375,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,61.29462814331055,64.1080551147461,36.39901351928711,48.0,,,,,/work/outputs/2025-09-09/20-27-51-772776/checkpoints/val/accuracy.ckpt
