phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.46306610107422,64.94180297851562,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,62.069400787353516,65.44981384277344,36.39921951293945,48.0,,,,,/work/outputs/2025-09-09/20-33-28-363566/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9110000133514404,61.556312561035156,65.48880767822266,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9407142996788025,60.698333740234375,63.021202087402344,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,61.3292236328125,64.18612670898438,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/20-39-20-500063/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8920000195503235,61.244110107421875,63.7415885925293,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9435714483261108,60.54372024536133,63.07442092895508,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9570000171661377,61.12615203857422,65.6606216430664,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,61.59294128417969,64.64702606201172,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/20-46-54-615940/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8610000014305115,61.17109298706055,64.47227478027344,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9392856955528259,61.25940704345703,65.38655090332031,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9585000276565552,61.50322341918945,64.63834381103516,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9570833444595337,62.552459716796875,69.40825653076172,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,62.43842697143555,69.60964965820312,36.398826599121094,48.0,,,,,/work/outputs/2025-09-09/20-56-08-658672/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8650000095367432,62.300411224365234,65.00505828857422,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9321428537368774,61.79904556274414,65.02972412109375,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9294999837875366,61.350006103515625,66.01676940917969,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9329166412353516,61.56977462768555,64.78095245361328,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9446428418159485,60.4730339050293,63.284976959228516,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,61.820377349853516,65.84900665283203,36.39901351928711,48.0,,,,,/work/outputs/2025-09-09/21-07-05-415217/checkpoints/val/accuracy.ckpt
