phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,60.96373748779297,63.57053756713867,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,63.04710388183594,67.25179290771484,36.39921951293945,48.0,,,,,/work/outputs/2025-09-09/17-56-23-321222/checkpoints/val/accuracy.ckpt
inference,-1,0,0.902999997138977,59.18063735961914,61.40198516845703,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9164285659790039,61.732547760009766,65.12078857421875,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,61.40732955932617,65.26131439208984,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/18-02-13-513262/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8619999885559082,61.71586608886719,64.98977661132812,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9378571510314941,61.38848876953125,64.79295349121094,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9570000171661377,62.04043960571289,69.38699340820312,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,62.45656204223633,65.4005126953125,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/18-09-50-657968/checkpoints/val/accuracy.ckpt
inference,-1,0,0.843999981880188,62.10709762573242,65.08793640136719,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9014285802841187,60.310890197753906,63.14922332763672,36.787109375,49.5,,,,,N/A
inference,-1,2,0.953000009059906,61.22328186035156,65.23538970947266,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9524999856948853,61.700775146484375,65.3207015991211,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,61.733917236328125,66.92306518554688,36.398826599121094,48.0,,,,,/work/outputs/2025-09-09/18-19-09-010260/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8360000252723694,62.86821365356445,68.28536224365234,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8692857027053833,61.279624938964844,65.16329193115234,36.787109375,49.5,,,,,N/A
inference,-1,2,0.925000011920929,60.937286376953125,64.56222534179688,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9370833039283752,61.643890380859375,64.62480163574219,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9396428465843201,62.069435119628906,64.41036987304688,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,60.406890869140625,63.24678039550781,36.39901351928711,48.0,,,,,/work/outputs/2025-09-09/18-30-03-462589/checkpoints/val/accuracy.ckpt
