phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.5297966003418,68.07202911376953,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,61.6055793762207,66.4793472290039,36.39921951293945,48.0,,,,,/work/outputs/2025-09-09/17-16-45-060616/checkpoints/val/accuracy.ckpt
inference,-1,0,0.906000018119812,61.87400436401367,66.64247131347656,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9314285516738892,61.76176834106445,66.27179718017578,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,61.965518951416016,65.02222442626953,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/17-22-58-639690/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8989999890327454,62.25499725341797,65.38755798339844,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9328571557998657,61.681396484375,68.00289154052734,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9495000243186951,60.76847839355469,64.9150390625,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,62.04701232910156,66.14892578125,36.39892578125,50.0,,,,,/work/outputs/2025-09-09/17-30-35-008326/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8389999866485596,62.01850891113281,65.26235961914062,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8971428275108337,62.0413932800293,64.89192199707031,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9545000195503235,62.265655517578125,66.71479034423828,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9495833516120911,61.32940673828125,63.990840911865234,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,61.8638916015625,65.432861328125,36.398826599121094,48.0,,,,,/work/outputs/2025-09-09/17-39-54-868608/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8420000076293945,59.93906784057617,62.518863677978516,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8335714340209961,61.20828628540039,64.1015853881836,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9380000233650208,61.3012809753418,66.13609313964844,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9412500262260437,59.45306396484375,63.29120635986328,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9482142925262451,62.28302001953125,67.72821807861328,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,61.2653923034668,63.889854431152344,36.39901351928711,48.0,,,,,/work/outputs/2025-09-09/17-50-45-883570/checkpoints/val/accuracy.ckpt
