phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.764617919921875,66.81607055664062,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,62.35589599609375,67.15371704101562,36.39921951293945,48.0,,,,,/work/outputs/2025-09-10/05-59-40-211488/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8859999775886536,62.57768249511719,68.09919738769531,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.9371428489685059,61.7567138671875,63.89802932739258,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,61.17625427246094,64.60093688964844,36.39892578125,48.0,,,,,/work/outputs/2025-09-10/06-05-31-367756/checkpoints/val/accuracy.ckpt
inference,-1,0,0.7120000123977661,61.48122787475586,64.58321380615234,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8971428275108337,60.32062911987305,62.41019821166992,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9430000185966492,61.485782623291016,66.2779541015625,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,59.94257736206055,63.453208923339844,36.39892578125,48.0,,,,,/work/outputs/2025-09-10/06-13-05-489492/checkpoints/val/accuracy.ckpt
inference,-1,0,0.6579999923706055,61.52704620361328,64.8399887084961,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.868571400642395,61.36696243286133,69.43391418457031,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9480000138282776,61.311580657958984,65.2087173461914,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9537500143051147,61.21720504760742,66.26193237304688,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,63.43341827392578,68.64798736572266,36.398826599121094,48.0,,,,,/work/outputs/2025-09-10/06-22-27-240981/checkpoints/val/accuracy.ckpt
inference,-1,0,0.6790000200271606,62.50414276123047,64.77699279785156,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8028571605682373,61.58485794067383,63.81904602050781,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9204999804496765,63.251243591308594,68.0293960571289,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.92208331823349,63.57143020629883,68.92915344238281,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9332143068313599,66.3177261352539,80.38011932373047,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,63.553123474121094,68.4133071899414,36.39901351928711,48.0,,,,,/work/outputs/2025-09-10/06-33-49-381038/checkpoints/val/accuracy.ckpt
