phase_type,noise_level,task,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス
inference,-1,0,0.8859999775886536,61.29938888549805,64.16080474853516,36.78740310668945,48.0,,,,,N/A
training,-1,0,0.8859999775886536,62.719566345214844,69.48133087158203,36.39921951293945,48.0,,,,,/work/outputs/2025-09-09/18-35-43-412067/checkpoints/val/accuracy.ckpt
inference,-1,0,0.9240000247955322,70.08131408691406,98.91912078857422,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.918571412563324,61.50259017944336,66.6537094116211,36.787109375,49.5,,,,,N/A
training,-1,1,0.9421428442001343,60.584232330322266,65.32039642333984,36.39892578125,49.5,,,,,/work/outputs/2025-09-09/18-41-35-811421/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8659999966621399,60.287715911865234,62.68680953979492,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.941428542137146,60.82923889160156,65.6206283569336,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9505000114440918,61.3111686706543,65.90502166748047,36.787109375,49.16666793823242,,,,,N/A
training,-1,2,0.9169999957084656,60.03171920776367,63.37030029296875,36.39892578125,48.0,,,,,/work/outputs/2025-09-09/18-49-12-585999/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8569999933242798,61.24797439575195,64.92640686035156,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8992857336997986,61.6427116394043,64.98473358154297,36.787109375,49.5,,,,,N/A
inference,-1,2,0.953000009059906,60.500038146972656,63.93146514892578,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9570833444595337,61.2607307434082,69.05547332763672,36.787010192871094,49.33333206176758,,,,,N/A
training,-1,3,0.9141666889190674,62.11371612548828,68.68869018554688,36.398826599121094,48.0,,,,,/work/outputs/2025-09-09/18-58-33-600375/checkpoints/val/accuracy.ckpt
inference,-1,0,0.8180000185966492,60.90156936645508,63.67879867553711,36.78740310668945,48.0,,,,,N/A
inference,-1,1,0.8342857360839844,59.702205657958984,61.74518966674805,36.787109375,49.5,,,,,N/A
inference,-1,2,0.9204999804496765,63.00151062011719,65.73011779785156,36.787109375,49.16666793823242,,,,,N/A
inference,-1,3,0.9337499737739563,60.830482482910156,64.43038940429688,36.787010192871094,49.33333206176758,,,,,N/A
inference,-1,4,0.9428571462631226,61.82286071777344,64.4657211303711,36.78719711303711,49.411766052246094,,,,,N/A
training,-1,4,0.9121428728103638,61.978389739990234,64.41138458251953,36.39901351928711,48.0,,,,,/work/outputs/2025-09-09/19-09-24-940167/checkpoints/val/accuracy.ckpt
